DestinationID,Name,City,State/UT,Type,Tags,Popularity,RatingCount,BestTimeToVisit,WeatherSummary,Latitude,Longitude,EntryFee,AverageCost,RecommendedDuration,Activities,Accessibility,NearestAirport,NearestRailwayStation,Description,DestinationImage,Hotel1_Name,Hotel1_Link,Hotel1_Price,Hotel2_Name,Hotel2_Link,Hotel2_Price,Hotel3_Name,Hotel3_Link,Hotel3_Price,Hotel4_Name,Hotel4_Link,Hotel4_Price
1,Taj Mahal,Agra,Uttar Pradesh,Historical,"heritage, architecture, culture, monument, guided tour, photography, historic landmark, iconic, white, marble, tourist favorite, must visit, photogenic",9.48,284000,Nov-Feb,"Cool 5-25°C, foggy",27.1751,78.0421,50,1500-3500,2-3 hrs,"Photography, sunrise tour",Partial wheelchair,Agra (AGR),Agra Cantt,Iconic white marble symbol of love,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Taj_Mahal_%28Edited%29.jpeg/1024px-Taj_Mahal_%28Edited%29.jpeg,Resort Agra,https://www.google.com/search?q=Resort+Agra+Agra+hotel+booking,1908,Boutique Hotel Crown,https://www.google.com/search?q=Boutique+Hotel+Crown+Agra+hotel+booking,2284,Oberoi Agra,https://www.google.com/search?q=Oberoi+Agra+Agra+hotel+booking,4140,ITC Agra,https://www.google.com/search?q=ITC+Agra+Agra+hotel+booking,6758
2,Amber Fort,Jaipur,Rajasthan,Historical,"historic fort, panoramic view, heritage, architecture, culture, monument, guided tour, photography, historic landmark, majestic, hilltop, fort, tourist favorite, must visit",9.41,178000,Oct-Mar,Pleasant 10-28°C,26.9855,75.8513,550,2000-4500,3-4 hrs,"Elephant ride, Sheesh Mahal",Limited wheelchair,Jaipur (JAI),Jaipur Junction,Majestic hilltop fort overlooking Jaipur,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/20191219_Fort_Amber%2C_Amer%2C_Jaipur_0955_9481.jpg/1024px-20191219_Fort_Amber%2C_Amer%2C_Jaipur_0955_9481.jpg,Hotel Grand,https://www.google.com/search?q=Hotel+Grand+Jaipur+hotel+booking,1535,Marriott Jaipur,https://www.google.com/search?q=Marriott+Jaipur+Jaipur+hotel+booking,2656,Lemon Tree Jaipur,https://www.google.com/search?q=Lemon+Tree+Jaipur+Jaipur+hotel+booking,3870,Hyatt Jaipur,https://www.google.com/search?q=Hyatt+Jaipur+Jaipur+hotel+booking,6657
3,Goa Beaches,Panaji,Goa,Beach,"beach destination, relaxing spot, tropical, sunset view, water sports, scuba diving, relaxing, beach walk, seafood, india, s, top, tourist favorite, must visit",9.29,201000,Nov-Mar,Warm 22-33°C,15.4909,73.8278,0,3000-8000,3-7 days,"Parasailing, beach parties",Excellent,Goa (GOI),Madgaon,India's top beach destination,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Baga_beach_goa.jpg/1024px-Baga_beach_goa.jpg,Boutique Hotel Imperial,https://www.google.com/search?q=Boutique+Hotel+Imperial+Panaji+hotel+booking,1829,Marriott Panaji,https://www.google.com/search?q=Marriott+Panaji+Panaji+hotel+booking,2854,Taj Panaji,https://www.google.com/search?q=Taj+Panaji+Panaji+hotel+booking,3776,Lemon Tree Panaji,https://www.google.com/search?q=Lemon+Tree+Panaji+Panaji+hotel+booking,6572
4,Alleppey Backwaters,Alappuzha,Kerala,Nature,"scenic views, peaceful, greenery, outdoors, nature walk, landscape, fresh air, serene, palm, lined, tourist favorite, must visit, photogenic",9.33,149000,Sep-Mar,Mild 24-32°C,9.4981,76.3388,750-25000,6000-18000,1-2 days,"Houseboat stay, village walk",Good,Kochi (COK),Alappuzha,Serene palm-lined canals,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Alappuzha_backwaters.jpg/1024px-Alappuzha_backwaters.jpg,Heritage Hotel Lake View,https://www.google.com/search?q=Heritage+Hotel+Lake+View+Alappuzha+hotel+booking,1231,Palace Hotel Alappuzha,https://www.google.com/search?q=Palace+Hotel+Alappuzha+Alappuzha+hotel+booking,2235,Resort Imperial,https://www.google.com/search?q=Resort+Imperial+Alappuzha+hotel+booking,4070,Palace Hotel Royal,https://www.google.com/search?q=Palace+Hotel+Royal+Alappuzha+hotel+booking,6819
5,Pangong Lake,Leh,Ladakh,Adventure,"lake view, serene spot, trekking, camping, thrill, outdoor adventure, offbeat, hiking trails, mountain views, color, changing, high, tourist favorite, must visit",9.45,98000,May-Sep,Cold -5 to 15°C,33.7636,78.4633,0,18000-35000,1-2 days,"Photography, camping",Limited,Leh (IXL),No railway,Color-changing high-altitude lake,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/ISS054-E-7809_-_View_of_Earth_%28cropped%29.jpg/1024px-ISS054-E-7809_-_View_of_Earth_%28cropped%29.jpg,Lodge Imperial,https://www.google.com/search?q=Lodge+Imperial+Leh+hotel+booking,1580,Hotel Lake View,https://www.google.com/search?q=Hotel+Lake+View+Leh+hotel+booking,2742,Inn Crown,https://www.google.com/search?q=Inn+Crown+Leh+hotel+booking,3955,Taj Leh,https://www.google.com/search?q=Taj+Leh+Leh+hotel+booking,6953
6,Varanasi Ghats,Varanasi,Uttar Pradesh,Spiritual,"holiest, city, on, tourist favorite, must visit, photogenic",9.22,138000,Oct-Mar,Cool 8-25°C,25.3176,82.9739,0,1500-4000,2-3 days,"Ganga aarti, boat ride",Moderate,Varanasi (VNS),Varanasi Junction,Holiest city on the Ganges,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Varanasi_-_Dashashwamedh_Ghat.jpg/1024px-Varanasi_-_Dashashwamedh_Ghat.jpg,Palace Hotel Heritage,https://www.google.com/search?q=Palace+Hotel+Heritage+Varanasi+hotel+booking,1775,Boutique Hotel Crown,https://www.google.com/search?q=Boutique+Hotel+Crown+Varanasi+hotel+booking,2920,Palace Hotel Crown,https://www.google.com/search?q=Palace+Hotel+Crown+Varanasi+hotel+booking,4410,Treebo Varanasi,https://www.google.com/search?q=Treebo+Varanasi+Varanasi+hotel+booking,6404
7,Hawa Mahal,Jaipur,Rajasthan,Historical,"heritage, architecture, culture, monument, guided tour, photography, historic landmark, palace, windows, tourist favorite, must visit, photogenic",9.18,162000,Oct-Mar,Pleasant winters,26.9239,75.8267,200,1500-3000,1-2 hrs,"Photography, city view",Good,Jaipur (JAI),Jaipur Junction,Palace with 953 windows,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/East_facade_Hawa_Mahal_Jaipur_from_ground_level_%28July_2022%29_-_img_01.jpg/1024px-East_facade_Hawa_Mahal_Jaipur_from_ground_level_%28July_2022%29_-_img_01.jpg,Boutique Hotel Grand,https://www.google.com/search?q=Boutique+Hotel+Grand+Jaipur+hotel+booking,1662,Heritage Hotel Jaipur,https://www.google.com/search?q=Heritage+Hotel+Jaipur+Jaipur+hotel+booking,2289,Hyatt Jaipur,https://www.google.com/search?q=Hyatt+Jaipur+Jaipur+hotel+booking,4383,Hotel Crown,https://www.google.com/search?q=Hotel+Crown+Jaipur+hotel+booking,6507
8,Munnar Tea Gardens,Munnar,Kerala,Nature,"scenic views, peaceful, greenery, outdoors, nature walk, landscape, fresh air, lush, green, tea, tourist favorite, must visit, photogenic",9.15,112000,Sep-May,Cool 15-25°C,10.0892,77.0595,0,4000-10000,2-3 days,"Tea estate walk, trekking",Moderate,Coimbatore (CJB),Aluva,Lush green tea hills,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Tea_gardens_Munnar_Kerala.jpg/1024px-Tea_gardens_Munnar_Kerala.jpg,ITC Munnar,https://www.google.com/search?q=ITC+Munnar+Munnar+hotel+booking,1570,Hotel Palace,https://www.google.com/search?q=Hotel+Palace+Munnar+hotel+booking,2342,Lodge Royal,https://www.google.com/search?q=Lodge+Royal+Munnar+hotel+booking,4069,Inn Munnar,https://www.google.com/search?q=Inn+Munnar+Munnar+hotel+booking,6764
9,Khajuraho Temples,Khajuraho,Madhya Pradesh,Historical,"spiritual place, devotional visit, heritage, architecture, culture, monument, guided tour, photography, historic landmark, famous, intricate, carvings, tourist favorite, must visit",9.1,89000,Oct-Mar,Pleasant 10-30°C,24.8318,79.9199,40,2500-6000,1-2 days,Temple tour,Good,Khajuraho (HJR),Khajuraho,Famous for intricate carvings,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Kandariya_Mahadeva_Temple.jpg/1024px-Kandariya_Mahadeva_Temple.jpg,Hotel Grand,https://www.google.com/search?q=Hotel+Grand+Khajuraho+hotel+booking,1516,Heritage Hotel Khajuraho,https://www.google.com/search?q=Heritage+Hotel+Khajuraho+Khajuraho+hotel+booking,2738,Lodge Grand,https://www.google.com/search?q=Lodge+Grand+Khajuraho+hotel+booking,3828,Oberoi Khajuraho,https://www.google.com/search?q=Oberoi+Khajuraho+Khajuraho+hotel+booking,6660
10,Ajanta Ellora Caves,Aurangabad,Maharashtra,Historical,"heritage, architecture, culture, monument, guided tour, photography, historic landmark, ancient, buddhist, rock, tourist favorite, must visit, photogenic",9.38,105000,Oct-Mar,Cool winters,20.5519,75.7033,600,3000-7000,Full day,Cave exploration,Partial wheelchair,Aurangabad (IXU),Aurangabad,Ancient Buddhist rock-cut art,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Ajanta_cave26.jpg/1024px-Ajanta_cave26.jpg,Palace Hotel Imperial,https://www.google.com/search?q=Palace+Hotel+Imperial+Aurangabad+hotel+booking,1331,OYO Aurangabad,https://www.google.com/search?q=OYO+Aurangabad+Aurangabad+hotel+booking,2855,Boutique Hotel Lake View,https://www.google.com/search?q=Boutique+Hotel+Lake+View+Aurangabad+hotel+booking,4143,Boutique Hotel Royal,https://www.google.com/search?q=Boutique+Hotel+Royal+Aurangabad+hotel+booking,6327
